0,1
Grassi saturi totali,3.68
C4:0\÷C10:0 (laurico),0.00
C12:0 (laurico),0.00
C14:0 (miristico),0.05
C16:0 (palmitico),3.00
C18:0 (stearico),0.63
C20:0 (arachidico),0.00
C22:0 (beenico),0.00
Grassi monoinsaturi totali,6.52
C14:1 (miristoleico),0.00
C16:1 (palmitoleico),0.44
C18:1 (oleico),6.08
C20:1 (eicosaenoico),0.00
C22:1 (erucico),0.00
Grassi polinsaturi totali,2.98
C18:2 W6 (linoleico),2.56
C18:3 W3 (linolenico),0.10
C20:4 W6 (arachidonico),0.32
C20:5 W3 (eicosapentaenoico - EPA),0.00
C22:6 W3 (docosaesaenoico - DHA),0.00
Rapporto Polinsaturi/Saturi,0.80
