0,1,2
Calorie,kcal,382.0
Grassi,g,4.800000190734861
Carboidrati,g,76.1999969482422
Proteine,g,8.39999961853027
Fibre,g,5.900000095367429
Zuccheri,g,37.0
Minerali,,
Calcio,mg,267.0
Sodio,mg,100.0
Ferro,mg,11.8999996185303
Vitamine,,
Tiamina (Vit. B1),mg,1.20000004768372
Riboflavina (Vit. B2),mg,1.39999997615814
Niacina (Vit. B3),mg,15.3000001907349
Acido Pantotenico (Vit. B5),mg,5.09999990463257
Piridossina (Vit. B6),mg,1.70000004768372
Acido folico (Vit. B9 o M o Folacina),mcg,170.0
"Vitamina B-12, aggiunta",mcg,0.8500000238418579
Acido ascorbico (Vit. C),mg,51.0
Zuccheri,,
Lipidi,,
"Acidi grassi, saturi",g,2.0
Grassi saturi,,
Grassi monoinsaturi,,
Grassi polinsaturi,,
Aminoacidi,,
Altro,,
