0,1,2
Calorie,kcal,174.0
Calorie,kj,728.0
Grassi,g,9.51
Carboidrati,g,0.0
Proteine,g,20.64
Fibre,g,0.0
Zuccheri,g,0.0
Acqua,g,69.37
Ceneri,g,1.0
Minerali,,
Calcio,mg,25.0
Sodio,mg,51.0
Fosforo,mg,183.0
Potassio,mg,313.0
Ferro,mg,1.47
Magnesio,mg,21.0
Zinco,mg,3.61
Rame,mg,0.067
Manganese,mg,0.013000000000000001
Selenio,mcg,22.1
Vitamine,,
Retinolo (Vit. A),mcg,0.0
"Vitamina A, IU",IU,0.0
Betaina,mg,12.7
"Vitamina A, RAE",mcg_RAE,0.0
Tiamina (Vit. B1),mg,0.055
Riboflavina (Vit. B2),mg,0.087
Niacina (Vit. B3),mg,6.6579999999999995
Acido Pantotenico (Vit. B5),mg,0.603
Piridossina (Vit. B6),mg,0.556
Acido folico (Vit. B9 o M o Folacina),mcg,0.0
Folato alimentare,mcg,11.0
"Folato, DFE",mcg_DFE,11.0
"Folati, totali",mcg,11.0
Cobalamina (Vit. B12),mcg,1.15
"Vitamina B-12, aggiunta",mcg,0.0
Acido ascorbico (Vit. C),mg,0.0
Alpha-tocoferolo (Vit. E),mg,0.33
"Vitamina E, aggiunta",mg,0.0
Fillochinone (Vit. K),mcg,1.3
Colina totale (Vit. J),mg,86.2
"Carotene, beta",mcg,0.0
"Carotene, alfa",mcg,0.0
"Criptoxantina, beta",mcg,0.0
Licopene,mcg,0.0
Luteina + zeaxantina,mcg,0.0
Tocoferolo beta,mg,0.0
Tocoferolo gamma,mg,0.0
Tocoferolo delta,mg,0.0
Zuccheri,,
Lipidi,,
"Acidi grassi, monoinsaturi",g,4.724
"Acidi grassi, polinsaturi",g,0.43799999999999994
"Acidi grassi, saturi",g,3.4930000000000003
Colesterolo,mg,68.0
Grassi saturi,,
4:0,g,0.0
6:0,g,0.0
8:0,g,0.0
10:0,g,0.006999999999999999
12:0,g,0.005
14:0,g,0.23
16:0,g,2.19
18:0,g,1.061
Grassi monoinsaturi,,
16:1 indifferenziato,g,0.36200000000000004
18:1 indifferenziato,g,4.359
20:1,g,0.003
22:1 indifferenziato,g,0.0
Grassi polinsaturi,,
18:2 indifferenziato,g,0.337
18:3 indifferenziato,g,0.057999999999999996
18:4,g,0.0
20:4 indifferenziato,g,0.043
20:5 n-3,g,0.0
22:5 n-3,g,0.0
22:6 n-3,g,0.0
Aminoacidi,,
Acido aspartico,g,1.88
Acido glutammico,g,3.0989999999999998
Alanina,g,1.255
Arginina,g,1.335
Cistina,g,0.266
Fenilalanina,g,0.815
Glicina,g,1.2570000000000001
Idrossiprolina,g,0.217
Isoleucina,g,0.9390000000000001
Istidina,g,0.659
Leucina,g,1.642
Lisina,g,1.745
Metionina,g,0.5379999999999999
Prolina,g,0.9840000000000001
Serina,g,0.813
Tirosina,g,0.6579999999999999
Treonina,g,0.825
Triptofano,g,0.136
Valina,g,1.024
Altro,,
Alcol etilico,g,0.0
Caffeina,mg,0.0
Teobromina,mg,0.0
