0,1
Grassi saturi totali,2.22
C4:0\÷C10:0 (laurico),0.00
C12:0 (laurico),0.00
C14:0 (miristico),0.07
C16:0 (palmitico),1.54
C18:0 (stearico),0.55
C20:0 (arachidico),0.00
C22:0 (beenico),0.00
Grassi monoinsaturi totali,1.66
C14:1 (miristoleico),0.00
C16:1 (palmitoleico),0.31
C18:1 (oleico),1.32
C20:1 (eicosaenoico),0.03
C22:1 (erucico),0.00
Grassi polinsaturi totali,2.96
C18:2 W6 (linoleico),1.23
C18:3 W3 (linolenico),0.07
C20:4 W6 (arachidonico),0.31
C20:5 W3 (eicosapentaenoico - EPA),0.93
C22:6 W3 (docosaesaenoico - DHA),0.31
Rapporto Polinsaturi/Saturi,1.30
