,0,1,2
1,Parte edibile (%):,100,
2,Acqua (g):,74.6,
3,Proteine (g):,22,
4,Lipidi(g):,2.6,
5,Colesterolo (mg):,,
6,Carboidrati disponibili (g):,0,
7,Amido (g):,0,
8,Zuccheri solubili (g):,0,
9,Fibra totale (g):,0,
10,Fibra solubile (g):,0,
11,Fibra insolubile (g):,0,
12,Alcol (g):,0,
13,Energia (kcal):,111,
14,Energia (kJ):,466,
15,Sodio (mg):,41,
16,Potassio (mg):,342,
17,Ferro (mg):,1.8,
18,Calcio (mg):,4,
19,Fosforo (mg):,206,
20,Magnesio (mg):,18,
21,Zinco (mg):,4,
22,Rame (mg):,0.05,
23,Selenio (µg):,3,
24,Tiamina (mg):,0.1,
25,Riboflavina (mg):,0.17,
26,Niacina (mg):,5,
27,Vitamina A retinolo eq. (µg):,tr,
28,Vitamina C (mg):,0,
29,Vitamina E (mg):,,
