0,1
Grassi saturi totali,0.06
C4:0\÷C10:0 (laurico),2.00
C12:0 (laurico),0.00
C14:0 (miristico),0.00
C16:0 (palmitico),0.05
C18:0 (stearico),3.00
C20:0 (arachidico),
C22:0 (beenico),
Grassi monoinsaturi totali,0.02
C14:1 (miristoleico),
C16:1 (palmitoleico),2.00
C18:1 (oleico),0.01
C20:1 (eicosaenoico),0.00
C22:1 (erucico),0.00
Grassi polinsaturi totali,0.15
C18:2 W6 (linoleico),0.04
C18:3 W3 (linolenico),0.09
C20:4 W6 (arachidonico),0.01
C20:5 W3 (eicosapentaenoico - EPA),0.00
C22:6 W3 (docosaesaenoico - DHA),0.00
Rapporto Polinsaturi/Saturi,2.40
