,0,1,2
1,Parte edibile (%):,100,
2,Acqua (g):,56.4,
3,Proteine (g):,14.7,
4,Lipidi(g):,17.3,
5,Colesterolo (mg):,,
6,Carboidrati disponibili (g):,6.5,variabile dal 3 al 10%
7,Amido (g):,0,
8,Zuccheri solubili (g):,6.5,
9,Fibra totale (g):,0,
10,Fibra solubile (g):,0,
11,Fibra insolubile (g):,0,
12,Alcol (g):,0,
13,Energia (kcal):,239,
14,Energia (kJ):,999,
15,Sodio (mg):,1000,
16,Potassio (mg):,,
17,Ferro (mg):,0.3,
18,Calcio (mg):,430,
19,Fosforo (mg):,665,
20,Magnesio (mg):,,
21,Zinco (mg):,,
22,Rame (mg):,,
23,Selenio (µg):,,
24,Tiamina (mg):,0.02,
25,Riboflavina (mg):,0.2,
26,Niacina (mg):,0.1,
27,Vitamina A retinolo eq. (µg):,240,
28,Vitamina C (mg):,0,
29,Vitamina E (mg):,,
