Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Yogurt alla frutta,Yogurt,Fermented foods,Fermented milk products,Latticini
Grassi,"3,9 g","+34%2,91 g","+45%2,69 g","-67%11,9 g","-67%11,9 g","-75%15,4 g"
- Acidi Grassi saturi,"2,7 g","+49%1,81 g","+54%1,75 g","-66%7,9 g","-66%7,9 g","-72%9,61 g"
Carboidrati,"12,3 g","-5%12,9 g","0%12,3 g","+72%7,16 g","+72%7,16 g","+102%6,1 g"
- Zuccheri,"12,3 g","+1%12,2 g","+8%11,4 g","+100%6,16 g","+100%6,16 g","+127%5,42 g"
Fibra alimentare,"0,2 g",?,"-27%0,275 g","-2%0,205 g","-2%0,205 g","+50%0,133 g"
Proteine,3 g,"-9%3,3 g","-23%3,88 g",-70%10 g,-70%10 g,"-62%7,89 g"
Sale,"0,11 g","-5%0,116 g","-3%0,113 g","-79%0,529 g","-79%0,529 g","-73%0,405 g"
Sodio,"0,043 g","-5%0,046 g","-3%0,044 g","-79%0,208 g","-79%0,208 g","-73%0,159 g"
"Fruits, vegetables and nuts (estimate from ingredients list)","11,7 %",?,?,?,?,?
Nutrition score - France,8,"+158%3,1","+279%2,11","+27%6,32","+27%6,32","+37%5,86"
Nutri-Score,C,C,C,C,C,C
