,components,unit,value,section
0,Parte edibile, %,89,componenti principali
1,"Energia,  ricalcolata", kJ,51,componenti principali
2,"Energia,  Ric con fibra", kJ,80,componenti principali
3,"Energia,  ricalcolata", kcal,12,componenti principali
4,"Energia,  Ric con fibra", kcal,19,componenti principali
5,Proteine totali, g,"1,2",componenti principali
6,   Proteine animali, g,"0,0",componenti principali
7,   Proteine vegetali, g,"1,2",componenti principali
8,Lipidi totali, g,"0,1",componenti principali
9,   Lipidi animali, g,"0,0",componenti principali
10,   Lipidi vegetali, g,"0,1",componenti principali
11,Colesterolo, mg,0,componenti principali
12,Carboidrati disponibili (MSE), g,"1,7",componenti principali
13,   Amido (MSE), g,"0,0",componenti principali
14,   Carboidrati solubili (MSE), g,"1,7",componenti principali
15,Fibra alimentare totale, g,"3,6",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"95,0",componenti principali
18,Ferro, mg,"1,5",minerali ed elementi in traccia
19,Calcio, mg,150,minerali ed elementi in traccia
20,Sodio, mg,7,minerali ed elementi in traccia
21,Potassio, mg,180,minerali ed elementi in traccia
22,Fosforo, mg,26,minerali ed elementi in traccia
23,Zinco, mg,"0,20",minerali ed elementi in traccia
24,"Vitamina B1,  Tiamina", mg,"0,03",vitamine idrosolubili
25,"Vitamina B2,  Riboflavina", mg,"0,08",vitamine idrosolubili
26,Vitamina C, mg,8,vitamine idrosolubili
27,Niacina, mg,"0,30",vitamine idrosolubili
28,Vitamina B6, mg,"0,01",vitamine idrosolubili
29,Folati totali, µg,12,vitamine idrosolubili
30,   Retinolo eq. (RE), µg,267,retinolo equivalente
31,   Retinolo, µg,0,retinolo equivalente
32,   ß-carotene eq., µg,1602,retinolo equivalente
33,Vitamina E (ATE), mg,"2,26",retinolo equivalente
34,Vitamina D, µg,"0,00",retinolo equivalente
35,Acidi grassi saturi totali, g,"0,02",acidi grassi
36,Acidi grassi monoinsaturi totali, g,tr,acidi grassi
37,Acido oleico, g,tr,acidi grassi
38,Acidi grassi polinsaturi totali, g,"0,04",acidi grassi
39,Acido linoleico, g,"0,04",acidi grassi
40,Acido linolenico, g,"0,01",acidi grassi
41,Altri acidi grassi polinsaturi, g,"0,00",acidi grassi
