,components,unit,value,section
0,Parte edibile, %,95,componenti principali
1,"Energia,  ricalcolata", kJ,59,componenti principali
2,"Energia,  Ric con fibra", kJ,67,componenti principali
3,"Energia,  ricalcolata", kcal,14,componenti principali
4,"Energia,  Ric con fibra", kcal,16,componenti principali
5,Proteine totali, g,"1,9",componenti principali
6,   Proteine animali, g,"0,0",componenti principali
7,   Proteine vegetali, g,"1,9",componenti principali
8,Lipidi totali, g,"0,5",componenti principali
9,   Lipidi animali, g,"0,0",componenti principali
10,   Lipidi vegetali, g,"0,5",componenti principali
11,Colesterolo, mg,0,componenti principali
12,Carboidrati disponibili (MSE), g,"0,5",componenti principali
13,   Amido (MSE), g,"0,0",componenti principali
14,   Carboidrati solubili (MSE), g,"0,5",componenti principali
15,Fibra alimentare totale, g,"1,0",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"88,1",componenti principali
18,Ferro, mg,"7,8",minerali ed elementi in traccia
19,Calcio, mg,115,minerali ed elementi in traccia
20,Sodio, mg,14,minerali ed elementi in traccia
21,Potassio, mg,357,minerali ed elementi in traccia
22,Fosforo, mg,45,minerali ed elementi in traccia
23,Zinco, mg,"0,40",minerali ed elementi in traccia
24,"Vitamina B1,  Tiamina", mg,"0,06",vitamine idrosolubili
25,"Vitamina B2,  Riboflavina", mg,"0,53",vitamine idrosolubili
26,Vitamina C, mg,46,vitamine idrosolubili
27,Niacina, mg,"0,30",vitamine idrosolubili
28,Vitamina B6, mg,"0,02",vitamine idrosolubili
29,Folati totali, µg,29,vitamine idrosolubili
30,   Retinolo eq. (RE), µg,542,retinolo equivalente
31,   Retinolo, µg,0,retinolo equivalente
32,   ß-carotene eq., µg,3252,retinolo equivalente
33,Vitamina E (ATE), mg,"0,57",retinolo equivalente
34,Vitamina D, µg,"0,00",retinolo equivalente
35,Acidi grassi saturi totali, g,"0,12",acidi grassi
36,Acidi grassi monoinsaturi totali, g,"0,01",acidi grassi
37,Acido oleico, g,"0,01",acidi grassi
38,Acidi grassi polinsaturi totali, g,"0,22",acidi grassi
39,Acido linoleico, g,"0,19",acidi grassi
40,Acido linolenico, g,"0,03",acidi grassi
41,Altri acidi grassi polinsaturi, g,"0,00",acidi grassi
