,components,unit,value,section
0,Parte edibile, %,100,componenti principali
1,"Energia,  ricalcolata", kJ,962,componenti principali
2,"Energia,  Ric con fibra", kJ,962,componenti principali
3,"Energia,  ricalcolata", kcal,232,componenti principali
4,"Energia,  Ric con fibra", kcal,232,componenti principali
5,Proteine totali, g,tr,componenti principali
6,   Proteine animali, g,"0,0",componenti principali
7,   Proteine vegetali, g,tr,componenti principali
8,Lipidi totali, g,"0,0",componenti principali
9,   Lipidi animali, g,"0,0",componenti principali
10,   Lipidi vegetali, g,"0,0",componenti principali
11,Colesterolo, mg,0,componenti principali
12,Carboidrati disponibili (MSE), g,"0,5",componenti principali
13,   Amido (MSE), g,"0,0",componenti principali
14,   Carboidrati solubili (MSE), g,"0,5",componenti principali
15,Fibra alimentare totale, g,"0,0",componenti principali
16,Alcol, g,"32,9",componenti principali
17,Acqua, g,"66,6",componenti principali
18,Ferro, mg,tr,minerali ed elementi in traccia
19,Calcio, mg,tr,minerali ed elementi in traccia
20,Sodio, mg,6,minerali ed elementi in traccia
21,Potassio, mg,3,minerali ed elementi in traccia
22,Fosforo, mg,tr,minerali ed elementi in traccia
23,Zinco, mg,tr,minerali ed elementi in traccia
24,Magnesio, mg,tr,minerali ed elementi in traccia
25,Rame, mg,tr,minerali ed elementi in traccia
26,Selenio, µg,tr,minerali ed elementi in traccia
27,Cloro, mg,4,minerali ed elementi in traccia
28,Iodio, µg,tr,minerali ed elementi in traccia
29,Manganese, mg,tr,minerali ed elementi in traccia
30,Zolfo, mg,tr,minerali ed elementi in traccia
31,"Vitamina B1,  Tiamina", mg,tr,vitamine idrosolubili
32,"Vitamina B2,  Riboflavina", mg,tr,vitamine idrosolubili
33,Vitamina C, mg,0,vitamine idrosolubili
34,Niacina, mg,tr,vitamine idrosolubili
35,Vitamina B6, mg,tr,vitamine idrosolubili
36,Folati totali, µg,tr,vitamine idrosolubili
37,Acido pantotenico, mg,tr,vitamine idrosolubili
38,Biotina, µg,tr,vitamine idrosolubili
39,Vitamina B12, µg,tr,vitamine idrosolubili
40,   Retinolo eq. (RE), µg,tr,retinolo equivalente
41,   Retinolo, µg,0,retinolo equivalente
42,   ß-carotene eq., µg,tr,retinolo equivalente
43,Vitamina E (ATE), mg,"0,00",retinolo equivalente
44,Vitamina D, µg,"0,00",retinolo equivalente
45,Acidi grassi saturi totali, g,"0,00",acidi grassi
46,"Somma degli acidi butirrico,  caproico,  caprilico e caprico", g,"0,00",acidi grassi
47,Acido laurico, g,"0,00",acidi grassi
48,Acido miristico, g,"0,00",acidi grassi
49,Acido palmitico, g,"0,00",acidi grassi
50,Acido stearico, g,"0,00",acidi grassi
51,Acido arachidico, g,"0,00",acidi grassi
52,Acido beenico, g,"0,00",acidi grassi
53,Acidi grassi monoinsaturi totali, g,"0,00",acidi grassi
54,Acido miristoleico, g,"0,00",acidi grassi
55,Acido palmitoleico, g,"0,00",acidi grassi
56,Acido oleico, g,"0,00",acidi grassi
57,Acidi eicosenoico, g,"0,00",acidi grassi
58,Acido erucico, g,"0,00",acidi grassi
59,Acidi grassi polinsaturi totali, g,"0,00",acidi grassi
60,Acido linoleico, g,"0,00",acidi grassi
61,Acido linolenico, g,"0,00",acidi grassi
62,Acido arachidonico, g,"0,00",acidi grassi
63,Acido eicosapentaenoico (EPA), g,"0,00",acidi grassi
64,Acido decosaesaenoico (DHA), g,"0,00",acidi grassi
65,Altri acidi grassi polinsaturi, g,"0,00",acidi grassi
66,Triptofano, mg,0,aminoacidi
67,Treonina, mg,0,aminoacidi
68,Isoleucina, mg,0,aminoacidi
69,Leucina, mg,0,aminoacidi
70,Lisina, mg,0,aminoacidi
71,Metionina, mg,0,aminoacidi
72,Cistina, mg,0,aminoacidi
73,Fenilalanina, mg,0,aminoacidi
74,Tirosina, mg,0,aminoacidi
75,Valina, mg,0,aminoacidi
76,Arginina, mg,0,aminoacidi
77,Istidina, mg,0,aminoacidi
78,Alanina, mg,0,aminoacidi
79,Acido aspartico, mg,0,aminoacidi
80,Acido glutammico, mg,0,aminoacidi
81,Glicina, mg,0,aminoacidi
82,Prolina, mg,0,aminoacidi
83,Serina, mg,0,aminoacidi
84,Glucosio, g,tr,zuccheri
85,Fruttosio, g,tr,zuccheri
86,Galattosio, g,"0,0",zuccheri
87,Saccarosio (MSE), g,"0,4",zuccheri
88,Maltosio (MSE), g,tr,zuccheri
89,Lattosio (MSE), g,"0,0",zuccheri
