,components,unit,value,section
0,Parte edibile, %,100,componenti principali
1,"Energia,  ricalcolata", kJ,1131,componenti principali
2,"Energia,  Ric con fibra", kJ,1131,componenti principali
3,"Energia,  ricalcolata", kcal,270,componenti principali
4,"Energia,  Ric con fibra", kcal,270,componenti principali
5,Proteine totali, g,"35,6",componenti principali
6,   Proteine animali, g,"35,6",componenti principali
7,   Proteine vegetali, g,"0,0",componenti principali
8,Lipidi totali, g,"14,2",componenti principali
9,   Lipidi animali, g,"14,2",componenti principali
10,   Lipidi vegetali, g,"0,0",componenti principali
11,Colesterolo, mg,110,componenti principali
12,Carboidrati disponibili (MSE), g,"0,0",componenti principali
13,   Amido (MSE), g,"0,0",componenti principali
14,   Carboidrati solubili (MSE), g,"0,0",componenti principali
15,Fibra alimentare totale, g,"0,0",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"42,0",componenti principali
18,Ferro, mg,"3,2",minerali ed elementi in traccia
19,Calcio, mg,15,minerali ed elementi in traccia
20,Sodio, mg,160,minerali ed elementi in traccia
21,Potassio, mg,475,minerali ed elementi in traccia
22,Fosforo, mg,310,minerali ed elementi in traccia
23,Zinco, mg,"5,80",minerali ed elementi in traccia
24,Magnesio, mg,22,minerali ed elementi in traccia
25,Rame, mg,"0,21",minerali ed elementi in traccia
26,Selenio, µg,"19,0",minerali ed elementi in traccia
27,Cloro, mg,86,minerali ed elementi in traccia
28,Iodio, µg,6,minerali ed elementi in traccia
29,Manganese, mg,"0,01",minerali ed elementi in traccia
30,Zolfo, mg,210,minerali ed elementi in traccia
31,"Vitamina B1,  Tiamina", mg,"0,10",vitamine idrosolubili
32,"Vitamina B2,  Riboflavina", mg,"0,33",vitamine idrosolubili
33,Vitamina C, mg,0,vitamine idrosolubili
34,Niacina, mg,"5,10",vitamine idrosolubili
35,Vitamina B6, mg,"0,34",vitamine idrosolubili
36,Folati totali, µg,6,vitamine idrosolubili
37,Acido pantotenico, mg,"1,60",vitamine idrosolubili
38,Biotina, µg,"3,0",vitamine idrosolubili
39,Vitamina B12, µg,"3,0",vitamine idrosolubili
40,   Retinolo eq. (RE), µg,tr,retinolo equivalente
41,   Retinolo, µg,tr,retinolo equivalente
42,   ß-carotene eq., µg,tr,retinolo equivalente
43,Vitamina E (ATE), mg,"0,06",retinolo equivalente
44,Vitamina D, µg,"0,60",retinolo equivalente
45,Acidi grassi saturi totali, g,"5,78",acidi grassi
46,"Somma degli acidi butirrico,  caproico,  caprilico e caprico", g,"0,03",acidi grassi
47,Acido laurico, g,"0,06",acidi grassi
48,Acido miristico, g,"0,54",acidi grassi
49,Acido palmitico, g,"3,09",acidi grassi
50,Acido stearico, g,"1,67",acidi grassi
51,Acido arachidico, g,"0,00",acidi grassi
52,Acido beenico, g,"0,00",acidi grassi
53,Acidi grassi monoinsaturi totali, g,"5,11",acidi grassi
54,Acido miristoleico, g,"0,03",acidi grassi
55,Acido palmitoleico, g,"0,25",acidi grassi
56,Acido oleico, g,"4,83",acidi grassi
57,Acidi eicosenoico, g,"0,00",acidi grassi
58,Acido erucico, g,"0,00",acidi grassi
59,Acidi grassi polinsaturi totali, g,"1,61",acidi grassi
60,Acido linoleico, g,"1,17",acidi grassi
61,Acido linolenico, g,"0,03",acidi grassi
62,Acido arachidonico, g,"0,32",acidi grassi
63,Acido eicosapentaenoico (EPA), g,"0,00",acidi grassi
64,Acido decosaesaenoico (DHA), g,"0,00",acidi grassi
65,Altri acidi grassi polinsaturi, g,"0,09",acidi grassi
66,Triptofano, mg,360,aminoacidi
67,Treonina, mg,1290,aminoacidi
68,Isoleucina, mg,1290,aminoacidi
69,Leucina, mg,2000,aminoacidi
70,Lisina, mg,2710,aminoacidi
71,Metionina, mg,710,aminoacidi
72,Cistina, mg,360,aminoacidi
73,Fenilalanina, mg,1070,aminoacidi
74,Tirosina, mg,980,aminoacidi
75,Valina, mg,1330,aminoacidi
76,Arginina, mg,1690,aminoacidi
77,Istidina, mg,890,aminoacidi
78,Alanina, mg,1600,aminoacidi
79,Acido aspartico, mg,2530,aminoacidi
80,Acido glutammico, mg,4660,aminoacidi
81,Glicina, mg,1380,aminoacidi
82,Prolina, mg,1290,aminoacidi
83,Serina, mg,1200,aminoacidi
84,Glucosio, g,"0,0",zuccheri
85,Fruttosio, g,"0,0",zuccheri
86,Galattosio, g,"0,0",zuccheri
87,Saccarosio (MSE), g,"0,0",zuccheri
88,Maltosio (MSE), g,"0,0",zuccheri
89,Lattosio (MSE), g,"0,0",zuccheri
