,components,unit,value,section
0,Parte edibile, %,100,componenti principali
1,"Energia,  ricalcolata", kJ,1486,componenti principali
2,"Energia,  Ric con fibra", kJ,1659,componenti principali
3,"Energia,  ricalcolata", kcal,349,componenti principali
4,"Energia,  Ric con fibra", kcal,392,componenti principali
5,Proteine totali, g,"5,6",componenti principali
6,   Proteine animali, g,"0,0",componenti principali
7,   Proteine vegetali, g,"5,6",componenti principali
8,Lipidi totali, g,"1,0",componenti principali
9,   Lipidi animali, g,"0,0",componenti principali
10,   Lipidi vegetali, g,"1,0",componenti principali
11,Colesterolo, mg,0,componenti principali
12,Carboidrati disponibili (MSE), g,"84,6",componenti principali
13,   Amido (MSE), g,"0,0",componenti principali
14,   Carboidrati solubili (MSE), g,"84,6",componenti principali
15,Fibra alimentare totale, g,"21,6",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"3,5",componenti principali
18,Ferro, mg,"5,3",minerali ed elementi in traccia
19,Calcio, mg,86,minerali ed elementi in traccia
20,Sodio, mg,33,minerali ed elementi in traccia
21,Potassio, mg,1260,minerali ed elementi in traccia
22,Fosforo, mg,139,minerali ed elementi in traccia
23,Zinco, mg,"0,70",minerali ed elementi in traccia
24,Magnesio, mg,65,minerali ed elementi in traccia
25,Rame, mg,"0,40",minerali ed elementi in traccia
26,Selenio, µg,"7,0",minerali ed elementi in traccia
27,Cloro, mg,35,minerali ed elementi in traccia
28,Iodio, µg,3,minerali ed elementi in traccia
29,Manganese, mg,"0,40",minerali ed elementi in traccia
30,Zolfo, mg,160,minerali ed elementi in traccia
31,"Vitamina B1,  Tiamina", mg,tr,vitamine idrosolubili
32,"Vitamina B2,  Riboflavina", mg,"0,08",vitamine idrosolubili
33,Vitamina C, mg,15,vitamine idrosolubili
34,Niacina, mg,"3,60",vitamine idrosolubili
35,Vitamina B6, mg,"0,17",vitamine idrosolubili
36,Folati totali, µg,14,vitamine idrosolubili
37,Acido pantotenico, mg,"0,70",vitamine idrosolubili
38,Biotina, µg,"1,0",vitamine idrosolubili
39,Vitamina B12, µg,"0,0",vitamine idrosolubili
40,   Retinolo eq. (RE), µg,1410,retinolo equivalente
41,   Retinolo, µg,0,retinolo equivalente
42,   ß-carotene eq., µg,8460,retinolo equivalente
43,Vitamina E (ATE), mg,"4,36",retinolo equivalente
44,Vitamina D, µg,"0,00",retinolo equivalente
45,Vitamina K, µg,"3,10",retinolo equivalente
46,Acidi grassi saturi totali, g,"0,03",acidi grassi
47,"Somma degli acidi butirrico,  caproico,  caprilico e caprico", g,"0,00",acidi grassi
48,Acido laurico, g,"0,00",acidi grassi
49,Acido miristico, g,"0,00",acidi grassi
50,Acido palmitico, g,"0,03",acidi grassi
51,Acido stearico, g,"0,00",acidi grassi
52,Acido arachidico, g,"0,00",acidi grassi
53,Acido beenico, g,"0,00",acidi grassi
54,Acidi grassi monoinsaturi totali, g,"0,15",acidi grassi
55,Acido miristoleico, g,"0,00",acidi grassi
56,Acido palmitoleico, g,"0,00",acidi grassi
57,Acido oleico, g,"0,15",acidi grassi
58,Acidi eicosenoico, g,"0,00",acidi grassi
59,Acido erucico, g,"0,00",acidi grassi
60,Acidi grassi polinsaturi totali, g,"0,15",acidi grassi
61,Acido linoleico, g,"0,15",acidi grassi
62,Acido linolenico, g,"0,00",acidi grassi
63,Acido arachidonico, g,"0,00",acidi grassi
64,Acido eicosapentaenoico (EPA), g,"0,00",acidi grassi
65,Acido decosaesaenoico (DHA), g,"0,00",acidi grassi
66,Altri acidi grassi polinsaturi, g,"0,00",acidi grassi
67,Triptofano, mg,26,aminoacidi
68,Treonina, mg,121,aminoacidi
69,Isoleucina, mg,104,aminoacidi
70,Leucina, mg,173,aminoacidi
71,Lisina, mg,137,aminoacidi
72,Metionina, mg,25,aminoacidi
73,Cistina, mg,31,aminoacidi
74,Fenilalanina, mg,102,aminoacidi
75,Tirosina, mg,64,aminoacidi
76,Valina, mg,129,aminoacidi
77,Arginina, mg,109,aminoacidi
78,Istidina, mg,78,aminoacidi
79,Alanina, mg,182,aminoacidi
80,Acido aspartico, mg,1548,aminoacidi
81,Acido glutammico, mg,311,aminoacidi
82,Glicina, mg,116,aminoacidi
83,Prolina, mg,1356,aminoacidi
84,Serina, mg,144,aminoacidi
85,Glucosio, g,"40,5",zuccheri
86,Fruttosio, g,"19,5",zuccheri
87,Galattosio, g,"0,0",zuccheri
88,Saccarosio (MSE), g,"24,6",zuccheri
89,Maltosio (MSE), g,"0,0",zuccheri
90,Lattosio (MSE), g,"0,0",zuccheri
