,components,unit,value,section
0,Parte edibile, %,100,componenti principali
1,"Energia,  ricalcolata", kJ,1322,componenti principali
2,"Energia,  Ric con fibra", kJ,1322,componenti principali
3,"Energia,  ricalcolata", kcal,319,componenti principali
4,"Energia,  Ric con fibra", kcal,319,componenti principali
5,Proteine totali, g,"21,4",componenti principali
6,   Proteine animali, g,"21,4",componenti principali
7,   Proteine vegetali, g,"0,0",componenti principali
8,Lipidi totali, g,"25,9",componenti principali
9,   Lipidi animali, g,"25,9",componenti principali
10,   Lipidi vegetali, g,"0,0",componenti principali
11,Colesterolo, mg,95,componenti principali
12,Carboidrati disponibili (MSE), g,"0,0",componenti principali
13,   Amido (MSE), g,"0,0",componenti principali
14,   Carboidrati solubili (MSE), g,"0,0",componenti principali
15,Fibra alimentare totale, g,"0,0",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"50,0",componenti principali
18,Ferro, mg,"1,4",minerali ed elementi in traccia
19,Calcio, mg,20,minerali ed elementi in traccia
20,Sodio, mg,699,minerali ed elementi in traccia
21,Potassio, mg,95,minerali ed elementi in traccia
22,Fosforo, mg,96,minerali ed elementi in traccia
23,Zinco, mg,"2,20",minerali ed elementi in traccia
24,Magnesio, mg,8,minerali ed elementi in traccia
25,Rame, mg,"0,10",minerali ed elementi in traccia
26,Selenio, µg,"1,0",minerali ed elementi in traccia
27,Cloro, mg,1660,minerali ed elementi in traccia
28,Iodio, µg,8,minerali ed elementi in traccia
29,Manganese, mg,"0,20",minerali ed elementi in traccia
30,Zolfo, mg,86,minerali ed elementi in traccia
31,"Vitamina B1,  Tiamina", mg,"0,27",vitamine idrosolubili
32,"Vitamina B2,  Riboflavina", mg,"0,28",vitamine idrosolubili
33,Vitamina C, mg,tr,vitamine idrosolubili
34,Niacina, mg,"7,30",vitamine idrosolubili
35,Vitamina B6, mg,"0,12",vitamine idrosolubili
36,Folati totali, µg,4,vitamine idrosolubili
37,Acido pantotenico, mg,"0,93",vitamine idrosolubili
38,Biotina, µg,"5,0",vitamine idrosolubili
39,Vitamina B12, µg,"1,0",vitamine idrosolubili
40,   Retinolo eq. (RE), µg,0,retinolo equivalente
41,   Retinolo, µg,0,retinolo equivalente
42,   ß-carotene eq., µg,0,retinolo equivalente
43,Vitamina E (ATE), mg,"0,92",retinolo equivalente
44,Vitamina D, µg,"1,10",retinolo equivalente
45,Acidi grassi saturi totali, g,"8,48",acidi grassi
46,"Somma degli acidi butirrico,  caproico,  caprilico e caprico", g,"0,00",acidi grassi
47,Acido laurico, g,"0,00",acidi grassi
48,Acido miristico, g,"0,38",acidi grassi
49,Acido palmitico, g,"5,43",acidi grassi
50,Acido stearico, g,"2,57",acidi grassi
51,Acido arachidico, g,"0,04",acidi grassi
52,Acido beenico, g,"0,00",acidi grassi
53,Acidi grassi monoinsaturi totali, g,"12,71",acidi grassi
54,Acido miristoleico, g,"0,00",acidi grassi
55,Acido palmitoleico, g,"0,85",acidi grassi
56,Acido oleico, g,"11,54",acidi grassi
57,Acidi eicosenoico, g,"0,25",acidi grassi
58,Acido erucico, g,"0,00",acidi grassi
59,Acidi grassi polinsaturi totali, g,"3,44",acidi grassi
60,Acido linoleico, g,"2,91",acidi grassi
61,Acido linolenico, g,"0,18",acidi grassi
62,Acido arachidonico, g,"0,16",acidi grassi
63,Acido eicosapentaenoico (EPA), g,"0,00",acidi grassi
64,Acido decosaesaenoico (DHA), g,"0,00",acidi grassi
65,Altri acidi grassi polinsaturi, g,"0,19",acidi grassi
66,Triptofano, mg,135,aminoacidi
67,Treonina, mg,702,aminoacidi
68,Isoleucina, mg,811,aminoacidi
69,Leucina, mg,1412,aminoacidi
70,Lisina, mg,1452,aminoacidi
71,Metionina, mg,361,aminoacidi
72,Cistina, mg,171,aminoacidi
73,Fenilalanina, mg,804,aminoacidi
74,Tirosina, mg,562,aminoacidi
75,Valina, mg,988,aminoacidi
76,Arginina, mg,1450,aminoacidi
77,Istidina, mg,419,aminoacidi
78,Alanina, mg,1683,aminoacidi
79,Acido aspartico, mg,1946,aminoacidi
80,Acido glutammico, mg,2871,aminoacidi
81,Glicina, mg,2712,aminoacidi
82,Prolina, mg,1679,aminoacidi
83,Serina, mg,860,aminoacidi
84,Glucosio, g,"0,0",zuccheri
85,Fruttosio, g,"0,0",zuccheri
86,Galattosio, g,"0,0",zuccheri
87,Saccarosio (MSE), g,"0,0",zuccheri
88,Maltosio (MSE), g,"0,0",zuccheri
89,Lattosio (MSE), g,"0,0",zuccheri
