,components,unit,value,section
0,Parte edibile, %,100,componenti principali
1,"Energia,  ricalcolata", kJ,1155,componenti principali
2,"Energia,  Ric con fibra", kJ,1300,componenti principali
3,"Energia,  ricalcolata", kcal,273,componenti principali
4,"Energia,  Ric con fibra", kcal,309,componenti principali
5,Proteine totali, g,"12,7",componenti principali
6,   Proteine animali, g,"0,0",componenti principali
7,   Proteine vegetali, g,"12,7",componenti principali
8,Lipidi totali, g,"7,0",componenti principali
9,   Lipidi animali, g,"0,0",componenti principali
10,   Lipidi vegetali, g,"7,0",componenti principali
11,Colesterolo, mg,0,componenti principali
12,Carboidrati disponibili (MSE), g,"42,5",componenti principali
13,   Amido (MSE), g,tr,componenti principali
14,   Carboidrati solubili (MSE), g,"42,5",componenti principali
15,Fibra alimentare totale, g,"18,1",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"7,6",componenti principali
18,Ferro, mg,"82,7",minerali ed elementi in traccia
19,Calcio, mg,1990,minerali ed elementi in traccia
20,Sodio, mg,77,minerali ed elementi in traccia
21,Potassio, mg,1520,minerali ed elementi in traccia
22,Fosforo, mg,310,minerali ed elementi in traccia
23,Zinco, mg,"3,60",minerali ed elementi in traccia
24,"Vitamina B1,  Tiamina", mg,"0,29",vitamine idrosolubili
25,"Vitamina B2,  Riboflavina", mg,"0,32",vitamine idrosolubili
26,Vitamina C, mg,0,vitamine idrosolubili
27,Niacina, mg,"4,10",vitamine idrosolubili
28,Vitamina B6, mg,"0,00",vitamine idrosolubili
29,Folati totali, µg,0,vitamine idrosolubili
30,   Retinolo eq. (RE), µg,807,retinolo equivalente
31,   Retinolo, µg,0,retinolo equivalente
32,   ß-carotene eq., µg,4840,retinolo equivalente
33,Vitamina E (ATE), mg,"9,15",retinolo equivalente
34,Vitamina D, µg,"0,00",retinolo equivalente
35,Acidi grassi saturi totali, g,"1,17",acidi grassi
36,Acidi grassi monoinsaturi totali, g,"2,61",acidi grassi
37,Acido oleico, g,"2,54",acidi grassi
38,Acidi grassi polinsaturi totali, g,"1,10",acidi grassi
39,Acido linoleico, g,"1,02",acidi grassi
40,Acido linolenico, g,"0,07",acidi grassi
41,Altri acidi grassi polinsaturi, g,"0,01",acidi grassi
