name,Categorie,Confezionamento,"Etichette, certificazioni, premi",Link alla pagina del prodotto sul sito ufficiale del produttore,Luoghi di produzione o lavorazione,Marche,Negozi,Nome generico,NutriScore,Nutrition score  France,Origine degli ingredienti,Paesi di vendita,Quantità,acidi grassi saturi | g,additives,barcode,carboidrati | g,codice EMB,fibra alimentare | g,grassi | g,ingredients,proteine | g,sale | g,sodio | g,zuccheri | g
Rigoni Nocciolata crema di cacao e nocciole Prodotto biologico — Rigoni di Asiago — 350 g," Spreads, Breakfasts, Sweet spreads, fr"," barattolo vetro, tappo metallico, twist -off"," Biologico, Senza glutine, KOSHER DAIRY",,, Rigoni di Asiago, FAMILA, Nocciolata crema di cacao e nocciole,D,16,," Francia, Italia", 350 g,6.30404404425439,,8001505000672,55.685722390913774,,5.253370036878658,31.52022022127195,"zucchero di canna*, pasta di nocciole 16%*, olio di girasole*, latte scremato in polvere*, cacao 6,5%*, burro di cacao*, lecitina di girasole, estratto di vaniglia*. *biologico.",7.354718051630122,0.13343559893671791,0.05253370036878659,53.584374376162316
Fondente con pezzi di cocco — Lindt," Sugary snacks, Cioccolato, Cioccolato fondente",,,,, Lindt,,,E,26,, Italia,,25.426726806403117,E220 - Anidride solforosa,8003340030012,55.27549305739809,,,38.692845140178655,"zucchero, pasta di cacao, burro di cacao, granella di cocco 7,0% (cocco, conservante (anidride solforosa), emulsionante (lecitina di soia), aroma naturale, bacche di vaniglia. O contenere nocciole, altra frutta a guscio, latte. OCColato fondente - Cacao: 50% minimo.",5.969753250198993,0.044220394445918465,0.017688157778367387,50.853453612806234
Wafer nocciola — Selex — 175 g," Sugary snacks, Biscuits and cakes, Biscotti, Wafers",,,,, Selex,,,E,23,," Francia, Italia", 175 g,25.33732218084132,,8003100803757,62.88540203919653,,2.8491767914199073,27.982986344302663,,5.800109896819098,0.34597146752956026,0.13635346073223845,40.499012963754396
"Oreo original — 308 g, 2 paquets de 14 biscuits de 11 g"," Sugary snacks, Biscuits and cakes, Biscotti"," Film plastique, PP 05, Tidyman wastebasket, Point vert"," Vegetariano, fr", http,, Oreo," SuperU, Magasins U", Biscotti al cacao magro ripieni di crema (29%) al gusto vaniglia,E,21,," Belgio, Francia, Germania, Grecia, Irlanda, Italia, Paesi Bassi, Spagna, Svizzera, Regno Unito"," 308 g, 2 paquets de 14 biscuits de 11 g",5.565604563795742,E502 - E502 food additive; E322i - E322(i) food additive; Carbonato di potassio; Carbonato di sodio; Huile de palme,7622300315269,72.78098275732894,,,20.335862829253674,"farina di frumento, olio di palma",5.7796662777878876,0.7920283417709326,0.3114597938585694,40.67172565850735
Sesam Gourmet  — Wasa — 220 g e, Prodotti da forno,,,,, Wasa,,,C,6,," Germania, Italia", 220 g e,1.6825987738061439,,7300400481465,53.63283591507083,,21.032484672576796,10.831729606377051,"farina integrale di segale, semi di _sesamo_bianco, fiocchi di frumento, semi di sesamo nero, sale, estratto di malto d'orzo , amido di mais.",12.304003533457426,1.5774363504432596,0.6215099220746443,2.5238981607092157
Rustici — Cabrioni — 750 g," Sugary snacks, Biscuits and cakes, fr",,,, Carpineti (RE), Cabrioni,,,D,13,," Francia, Italia", 750 g,2.4527087101818066,E450i - Difosfato disodico; E322i - E322(i) food additive,8000155667501,60.90893296951487,,8.584480485636323,18.5997077188787,"INGREDIENTS: Farine de blé integral 60%, sucre, huile de tournesol, oeufs frais, beurre, lait écrémé en poudre, miel, malt d'orge, poudre levante (bicarbonate d'ammonium, diphosphate de sodium, bicarbonate de so- dium), sel, emulsionnant (lécithine de soja), arômes naturels",9.913031036984801,1.4307467476060538,0.5631010413792399,24.52708710181807
Special K Biscuit Moments Cioccolato — Kellogg's — 125 g," Sugary snacks, Biscuits and cakes, Biscotti, Chocolate biscuits", Carton,,,, Kellogg's, Noz,,D,14,," Francia, Italia", 125 g,4.4381816769669475,E422 - Glicerolo; E322i - E322(i) food additive; E14XX - E14XX food additive; E460 - Cellulosa; E466 - Carbossimetilcellulosa sodica; E472e - Esteri mono- e diacetiltartarici di mono- e digliceridi degli acidi grassi; E500 - Carbonato di sodio; E450 - Pirofosfato; E341 - E341 food additive; E150c - Caramello ammoniacale; ; ; ; Alto rischio di sovraesposizione; ; ; E153 - Carbone vegetale; Huile végétale; E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras,5050083776274,80.99681560464677,,2.2190908384834738,10.096863315099803,"Farine de blé, fourrage au chocolat (33%) (fructose, humectant : glycérol, chocolat (6%) [pâte de cacao, sucre, beurre de cacao, cacao maigre en poudre, émulsifiant (lécithine de soja)], dextrose, sirop de glucose, amidon modifié, cacao maigre en poudre, stabilisant (E460, E466), émulsifiant (lécithine de soja), arôme], sucre, huile végétale non hydrogénée, maltodextrine, petit-lait en poudre, amidon modifié, émulsifiant (lécithine de soja, E472e), sirop de sucre inverti, agent levant (E500, E450, E341), caroube en poudre, lait écrémé en poudre, sel, colorant (E150c, E153), arôme vanille.",5.547727096208684,0.8177349739811599,0.3217681715801036,31.067271738768625
Gaufrettes Chocolat — Loacker — 37.5 g," Sugary snacks, Biscuits and cakes, Biscotti, Pastries, Wafers, Stuffed wafers, Waffles, Stuffed waffles"," Sachet, Plastique"," Senza coloranti, Senza conservanti, Punto Verde, Without dyes or preservatives",,, Loacker,,,E,22,," Francia, Italia, Riunione", 37.5 g,21.6478330519115,E500ii - Carbonato acido di sodio; E450i - Difosfato disodico; E322i - E322(i) food additive,80001645,64.94349915573451,,,25.977399662293806,"Farine de froment, huile de coprah, sirop de glucose, sucre, cacao maigre, dextrose, chocolat noir 8 % dans la crème (pâte de cacao, sucre) farine de soja, lactosérum en poudre (lait), lait écrémé en poudre, extrait de malt d'orge, poudres à lever (carbonate acide de sodium, diphosphate disodique), noisettes, sel, émulsifiant lécithines de soja, gousses de vanille Bourbon, épices.",8.550894055505044,0.37883707840845127,0.14937004805818938,28.142182967484953
Cookies cioccolato e nocciole — Carrefour — 200g," Sugary snacks, Biscuits and cakes, Biscotti, Chocolate biscuits, Cookies, Chocolate cookies, Chocolate and hazelnut cookies"," Barquette, Film, Plastique, Etui, Carton, Triman, Tidyman wastebasket"," Distributor labels, Made in France, fr",," Biscuits Panier (Filiale Groupe Poult) - ZI des Pays-Bas - 29510 Briec, Finistère, Bretagne, France", Carrefour," Carrefour, Dia", Biscotti alle pepite di cioccolato e alle nocciole,E,22,," Belgio, Francia, Italia", 200g,12.463647694225175,E322 - Lecitine; E450i - Difosfato disodico; E500ii - Carbonato acido di sodio; Huile de palme,3270190114055,57.125051931865386," EMB 29020H - Briec (Finistère, France)",5.60864146240133,29.081844619858742,"farina di frumento, pepite di cioccolato 22% (zucchero, pasta di cacao, burro di cacao, emulsionante (lecitina (soja)), aroma), grasso di palma, zucchero, nocciole 6%, uova fresche, pralinato di nocciole (nocciole, zucchero), albume d'uovo, latte scremato in polvere, agente lievitante (difosfati, carbonati di sodio), sale, aroma naturale di vaniglia con altri aromi naturali",6.751142501038637,1.028250934773577,0.4050685500623183,34.27503115911924
Tuc Cracker Erbe Aromatiche — 250 g," Salty snacks, Appetizers, Crackers, Prodotti da forno",,,,," Tuc, LU",," Crackers con olio d'oliva, erbe aromatiche e rosmarino",D,18,, Italia, 250 g,7.859308176742571,,,64.81377522378614,,3.9806885570514314,18.882753411654228,"Farina di frumento 83,7%; Grasso di palma; Zucchero; Agenti lievitanti (carbonati di ammonio, fosfati di calcio, carbonati di sodio); Olio di oliva 3%; Sale; Sciroppo di glucosio-fruttosio; Farina di malto d'orzo; Miscela di erbe aromatiche disidratate 0,4%; Rosmarino disidratato 0,1%; Spinaci disidratati",8.879997550345502,2.470068284119094,0.9727169730435935,6.124136241617588
Oro Ciok Cioccolato Al Latte — Saiwa — 250 g e," Sugary snacks, Biscuits and cakes, Biscotti, Chocolate biscuits, Milk chocolate biscuits"," boîte, Carton, Plastique",,, Italie," Saiwa, Mondelez",,,E,24,," Francia, Italia", 250 g e,13.252594450221217,E322i - E322(i) food additive; E503i - Carbonato d'ammonio; E500i - Carbonato di sodio; E450 - Pirofosfato; E330 - Acido citrico; Huile de palme,8000090004461,67.28240259343079,,2.6505188900442436,22.4274675311436,"45% de chocolat au lait (sucre, beurre de cacao, pâte de cacao, lait écrémé en poudre, sirop de glucose, graisse de lait, émulsifiant (lécithine de soja), arôme (vanilline)], farine de blé, sucre, palme, poudre de lactosérum, levure (carbonate d'ammonium, carbonate de sodium, diphosphate), sel, régulateur d'acidité (acide citrique).",6.83018329357555,0.581075295125084,0.22835239668073481,39.75778335066365
Taralli pugliesi con finocchio con olio extra vergine di oliva pugliese — Gruppo Pam SpA Via delle Industrie 8 30038 Spinea VE Italy — 250 g," Prodotti da forno, Taralli"," Sacchetto, Plastica",,,," Gruppo Pam SpA Via delle Industrie 8 30038 Spinea VE Italy, i tesori",, taralli pugliesi con finocchio con olio extra vergine di oliva pugliese,D,16,," Francia, Italia", 250 g,3.9282312156893555,,8004263666050,66.77993066671904,,2.160527168629146,19.641156078446777,"Farina di grano tenero tipo ""00"", vino bianco (15%), olio di sansa, olio extra vergine di oliva (5%), sale, lievito, semi di finocchio (2%). Può contenere tracce di semi di sesamo.",8.543902894124347,2.062321388236912,0.8121618038437741,1.7677040470602101
Arachidi tostate — Coop — 500 g," Aliments d'origine végétale, Aliments et boissons à base de végétaux, Cacahuètes, Cacahuètes non décortiquées, Fruits à coques, Fruits à coques et dérivés, Légumineuses, Légumineuses et dérivés", Plastique,,,, Coop, Coop,,C,10, Israele, Italia, 500 g,8.077374958039611,,8001120957450,13.532225579053373,,8.811681772406848,52.135783820073854,Arachidi tostate,25.490936555891235,0.02098019469620678,0.008392077878482711,5.140147700570662
Grissini rustici Pam — Pam Panorama — 300 g," Cibi e bevande a base vegetale, Cibi a base vegetale, Cereali e patate, Pani, Breadsticks", sacchetto di plastica,,, Sant'Ilario d'Enza (RE) - Italia, Pam Panorama,, grissini,D,12,, Italia, 300 g,1.3343734603383153,Iodato di potassio,,71.85087863360158,,3.9004762686812287,8.211528986697324,"Farina di grano tenero tipo 0, olio di oliva 6,5%, crema di lievito, sale iodato (sale, iodato di potassio 0,007%), aromi naturali",12.317293480045985,2.6687469206766306,1.0510757102972574,1.6423057973394648
Riniel Lemon Balm & Menthol Lozenges — 60g(2x30g)," Sugary snacks, Dolce, Candies, de"," Scatola, Kunststoff, Karton, 81",,,," Riniel, Amanie", Lidl, Caramelle,B,2,," Francia, Germania, Italia", 60g(2x30g),0.0,E953 - Isomalto; E330 - Acido citrico; E270 - Acido lattico; Acido L-Ascorbico; Vitamina C,20364724,100.0,,,0.0,"Süßungsmittel: Isomalt; Säuerungsmittel: Citronensäure, Milchsäure; 0,8%*Zitronensaftkonzentrat, natürliches Aroma, 0,3% Kräuterextrakt, L-Ascorbinsäure (Vitamin C), färbender Kurkumaextrakt, Menthol, Süßungsmittel: Steviolglycoside; *entspricht 4,5% Fruchtsaft",0.0,0.0,0.0,0.0
Olio Extra Vergine di Olivia — Bertolli — 1 L," Cibi e bevande a base vegetale, Cibi a base vegetale, Fats, Olive tree products, Vegetable fats, Olio vegetale, Olio di oliva, Olio extra vergine di oliva"," bouteille en verre, Verre, Bouteille",,,, Bertolli,, Huile d'Olive Extra Vierge - Olio Extra Vergine di Olivia,,, Union Européenne," Francia, Italia", 1 L,15.384615384615385,,8002470025363,0.0,,,100.0,Huile d'olive vierge extra.,0.0,,,0.0
