,0,1,2
0,Composizione chimica,valore per 100g,RDA (%)
1,Parte edibile,63%,-
2,Acqua,68g,-
3,Carboidrati disponibili,0,-
4,Carboidrati complessi,0,-
5,Zuccheri solubili,0,-
6,Proteine,"16,70g",-
7,Grassi (Lipidi),"14,30g",-
8,Saturi totali,,-
9,Monoinsaturi totali,,-
10,Polinsaturi totali,,-
11,Colesterolo,,-
12,Fibra totale,0,-
13,Fibra solubile,0,-
14,Fibra insolubile,0,-
15,Alcol (g),0,-
16,Sodio,100mg,6.67% RDA
17,Potassio,228mg,4.85% RDA
18,Ferro,"0,60mg",7.50% RDA
19,Calcio,14mg,1.40% RDA
20,Fosforo,ND,-
21,Magnesio,18mg,4.29% RDA
22,Zinco,"1,31mg",11.91% RDA
23,Rame,"0,06mg",6% RDA
24,Selenio,ND,-
25,Tiamina (Vit. B1),ND,-
26,Riboflavina (Vit. B2),ND,-
27,Niacina (Vit. B3 o PP),ND,-
28,Vitamina A retinolo eq.,Tracce,0% RDA
29,Vitamina C,0mg,0% RDA
30,Vitamina E,ND,-
31,Vitamina B6,ND,-
32,Vitamina B12,ND,-
33,Manganese,ND,-
