,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,79.40,,
2,Calorie,kcal,84.00,,
3,Fibra alimentare,g,0.00,,
4,Proteine totali,g,17.30,,82.49
5,Proteine animali,g,17.30,,
6,Proteine vegetali,g,0.00,,
7,Glucidi disponibili,g,0.80,,3.57
8,Glucidi solubili,g,0.80,,
9,Amido,g,0.00,,
10,Lipidi totali,g,1.30,,13.95
11,Lipidi animali,g,1.30,,
12,Lipidi vegetali,g,0.00,,
13,Lipidi saturi totali,g,0.17,,
14,Acido oleico,g,0.12,,
15,Monoinsaturi totali,g,0.25,,
16,Acido linoleico,g,0.00,,
17,Acido linolenico,g,0.00,,
18,Altri polinsaturi,g,0.67,,
19,Polinsaturi totali,g,0.67,,
20,Colesterolo,mg,44.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.40,,
23,Calcio,mg,11.00,1.38,
24,Sodio,mg,120.00,,
25,Potassio,mg,280.00,9.03,
26,Fosforo,mg,174.00,21.75,
27,Zinco,mg,0.40,4.00,
28,Tiamina (Vit.B1),mg,0.08,5.67,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.12,7.50,
31,Niacina (Vit. PP),mg,3.80,20.84,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,5.00,2.50,
34,Retinolo (equivalente),mcg,0.00,0.00,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,0.40,4.00,
