0,1,2
Calorie,kcal,884.0
Calorie,kj,3699.0
Grassi,g,100.0
Carboidrati,g,0.0
Proteine,g,0.0
Fibre,g,0.0
Zuccheri,g,0.0
Acqua,g,0.0
Ceneri,g,0.0
Minerali,,
Calcio,mg,0.0
Sodio,mg,0.0
Fosforo,mg,0.0
Potassio,mg,0.0
Ferro,mg,0.0
Magnesio,mg,0.0
Zinco,mg,0.0
Selenio,mcg,0.0
Vitamine,,
Retinolo (Vit. A),mcg,0.0
"Vitamina A, IU",IU,0.0
"Vitamina A, RAE",mcg_RAE,0.0
Tiamina (Vit. B1),mg,0.0
Riboflavina (Vit. B2),mg,0.0
Niacina (Vit. B3),mg,0.0
Acido Pantotenico (Vit. B5),mg,0.0
Piridossina (Vit. B6),mg,0.0
Acido folico (Vit. B9 o M o Folacina),mcg,0.0
Folato alimentare,mcg,0.0
"Folato, DFE",mcg_DFE,0.0
"Folati, totali",mcg,0.0
Cobalamina (Vit. B12),mcg,0.0
Acido ascorbico (Vit. C),mg,0.0
Alpha-tocoferolo (Vit. E),mg,47.2
"Carotene, beta",mcg,0.0
"Carotene, alfa",mcg,0.0
"Criptoxantina, beta",mcg,0.0
Licopene,mcg,0.0
Luteina + zeaxantina,mcg,0.0
Zuccheri,,
Lipidi,,
"Acidi grassi, monoinsaturi",g,78.0
"Acidi grassi, polinsaturi",g,10.2
"Acidi grassi, saturi",g,7.4
Colesterolo,mg,0.0
Fitosteroli,mg,120.0
Grassi saturi,,
4:0,g,0.0
6:0,g,0.0
8:0,g,0.0
10:0,g,0.0
12:0,g,0.0
14:0,g,0.1
16:0,g,5.2
18:0,g,2.0
Grassi monoinsaturi,,
16:1 indifferenziato,g,0.2
18:1 indifferenziato,g,77.8
20:1,g,0.0
22:1 indifferenziato,g,0.0
Grassi polinsaturi,,
18:2 indifferenziato,g,10.1
18:3 indifferenziato,g,0.0
18:4,g,0.0
20:4 indifferenziato,g,0.0
20:5 n-3,g,0.0
22:5 n-3,g,0.0
22:6 n-3,g,0.0
Aminoacidi,,
Acido aspartico,g,0.0
Acido glutammico,g,0.0
Alanina,g,0.0
Arginina,g,0.0
Cistina,g,0.0
Fenilalanina,g,0.0
Glicina,g,0.0
Isoleucina,g,0.0
Istidina,g,0.0
Leucina,g,0.0
Lisina,g,0.0
Metionina,g,0.0
Prolina,g,0.0
Serina,g,0.0
Tirosina,g,0.0
Treonina,g,0.0
Triptofano,g,0.0
Valina,g,0.0
Altro,,
Alcol etilico,g,0.0
Caffeina,mg,0.0
Teobromina,mg,0.0
