,0,1,2
0,Composizione chimica,valore per 100g,RDA (%)
1,Parte edibile,62%,-
2,Acqua,"58,70g",-
3,Carboidrati disponibili,0,-
4,Carboidrati complessi,0,-
5,Zuccheri solubili,0,-
6,Proteine,"31,20g",-
7,Grassi (Lipidi),"8,50g",-
8,Saturi totali,,-
9,Monoinsaturi totali,,-
10,Polinsaturi totali,,-
11,Colesterolo,91mg,-
12,Fibra totale,0,-
13,Fibra solubile,0,-
14,Fibra insolubile,0,-
15,Alcol (g),0,-
16,Sodio,136mg,9.07% RDA
17,Potassio,413mg,8.79% RDA
18,Ferro,"1,20mg",15% RDA
19,Calcio,8mg,0.80% RDA
20,Fosforo,ND,-
21,Magnesio,33mg,7.86% RDA
22,Zinco,"3,33mg",30.27% RDA
23,Rame,"0,15mg",15% RDA
24,Selenio,ND,-
25,Tiamina (Vit. B1),ND,-
26,Riboflavina (Vit. B2),ND,-
27,Niacina (Vit. B3 o PP),ND,-
28,Vitamina A retinolo eq.,Tracce,0% RDA
29,Vitamina C,0mg,0% RDA
30,Vitamina E,ND,-
31,Vitamina B6,ND,-
32,Vitamina B12,ND,-
33,Manganese,ND,-
